"코드","종목명","액면가"
"247540","에코프로비엠","500"
"086520","에코프로","500"
"028300","HLB","500"
"196170","알테오젠","500"
"403870","HPSP","500"
"068760","셀트리온제약","500"
"348370","엔켐","500"
"058470","리노공업","500"
"277810","레인보우로보틱스","500"
"065350","신성델타테크","500"
"035900","JYP Ent.","500"
"145020","휴젤","500"
"039030","이오테크닉스","500"
"357780","솔브레인","500"
"141080","레고켐바이오","500"
"005290","동진쎄미켐","500"
"214150","클래시스","100"
"095340","ISC","500"
"112040","위메이드","500"
"281740","레이크머티리얼즈","100"
"293490","카카오게임즈","100"
"263750","펄어비스","100"
"328130","루닛","500"
"000250","삼천당제약","500"
"041510","에스엠","500"
"036930","주성엔지니어링","500"
"121600","나노신소재","500"
"417200","LS머트리얼즈","500"
"067630","HLB생명과학","500"
"240810","원익IPS","500"
"035760","CJ ENM","5,000"
"078600","대주전자재료","500"
"393890","더블유씨피","500"
"237690","에스티팜","500"
"098460","고영","100"
"214370","케어젠","100"
"067160","아프리카TV","500"
"067310","하나마이크론","500"
"025900","동화기업","500"
"253450","스튜디오드래곤","500"
"298380","에이비엘바이오","500"
"096530","씨젠","500"
"140410","메지온","500"
"036830","솔브레인홀딩스","500"
"034230","파라다이스","500"
"140860","파크시스템스","500"
"064760","티씨케이","500"
"383310","에코프로에이치엔","500"
"365340","성일하이텍","500"
"399720","가온칩스","500"
"039200","오스코텍","500"
"085660","차바이오텍","500"
"195940","HK이노엔","500"
"222080","씨아이에스","100"
"137400","피엔티","500"
"086900","메디톡스","500"
"036540","SFA반도체","500"
"089030","테크윙","500"
"009520","포스코엠텍","500"
"101490","에스앤에스텍","500"
"213420","덕산네오룩스","200"
"056190","에스에프에이","500"
"166090","하나머티리얼즈","500"
"418550","제이오","100"
"440110","파두","100"
"025320","시노펙스","500"
"214450","파마리서치","500"
"080220","제주반도체","500"
"222800","심텍","500"
"031980","피에스케이홀딩스","500"
"278280","천보","500"
"078130","국일제지","100"
"225570","넥슨게임즈","500"
"047920","HLB제약","500"
"041190","우리기술투자","500"
"048410","현대바이오","500"
"084370","유진테크","500"
"178320","서진시스템","500"
"064550","바이오니아","500"
"122870","와이지엔터테인먼트","500"
"131970","두산테스나","500"
"003380","하림지주","100"
"445090","에이직랜드","500"
"074600","원익QnC","500"
"372170","윤성에프앤씨","100"
"204270","제이앤티씨","500"
"420770","기가비스","200"
"319660","피에스케이","500"
"950160","코오롱티슈진","0"
"376300","디어유","500"
