"코드","종목명","액면가"
"005930","삼성전자","100"
"000660","SK하이닉스","5,000"
"373220","LG에너지솔루션","500"
"207940","삼성바이오로직스","2,500"
"005935","삼성전자우","100"
"005380","현대차","5,000"
"000270","기아","5,000"
"068270","셀트리온","1,000"
"005490","POSCO홀딩스","5,000"
"051910","LG화학","5,000"
"006400","삼성SDI","5,000"
"035420","NAVER","100"
"028260","삼성물산","100"
"105560","KB금융","5,000"
"003670","포스코퓨처엠","500"
"035720","카카오","100"
"012330","현대모비스","5,000"
"055550","신한지주","5,000"
"032830","삼성생명","500"
"086790","하나금융지주","5,000"
"138040","메리츠금융지주","500"
"066570","LG전자","5,000"
"015760","한국전력","5,000"
"003550","LG","5,000"
"000810","삼성화재","500"
"323410","카카오뱅크","5,000"
"034730","SK","200"
"018260","삼성에스디에스","500"
"033780","KT&G","5,000"
"024110","기업은행","5,000"
"096770","SK이노베이션","5,000"
"011200","HMM","5,000"
"259960","크래프톤","100"
"017670","SK텔레콤","100"
"450080","에코프로머티","500"
"034020","두산에너빌리티","5,000"
"316140","우리금융지주","5,000"
"047050","포스코인터내셔널","5,000"
"009150","삼성전기","5,000"
"329180","HD현대중공업","5,000"
"402340","SK스퀘어","100"
"030200","KT","5,000"
"042700","한미반도체","100"
"010130","고려아연","5,000"
"012450","한화에어로스페이스","5,000"
"352820","하이브","500"
"010950","S-Oil","2,500"
"022100","포스코DX","500"
"003490","대한항공","5,000"
"009540","HD한국조선해양","5,000"
"459580","KODEX CD금리액티브(합성)","0"
"042660","한화오션","5,000"
"326030","SK바이오팜","500"
"001570","금양","500"
"010140","삼성중공업","1,000"
"357870","TIGER CD금리투자KIS(합성)","0"
"086280","현대글로비스","500"
"069500","KODEX 200","0"
"005830","DB손해보험","500"
"090430","아모레퍼시픽","500"
"161390","한국타이어앤테크놀로지","500"
"000100","유한양행","1,000"
"066970","엘앤에프","500"
"005070","코스모신소재","1,000"
"005387","현대차2우B","5,000"
"088980","맥쿼리인프라","0"
"454910","두산로보틱스","500"
"377300","카카오페이","500"
"051900","LG생활건강","5,000"
"361610","SK아이이테크놀로지","1,000"
"267250","HD현대","1,000"
"028050","삼성엔지니어링","5,000"
"011170","롯데케미칼","5,000"
"449170","TIGER KOFR금리액티브(합성)","0"
"047810","한국항공우주","5,000"
"251270","넷마블","100"
"423160","KODEX KOFR금리액티브(합성)","0"
"241560","두산밥캣","500"
"267260","HD현대일렉트릭","5,000"
"302440","SK바이오사이언스","500"
"006800","미래에셋증권","5,000"
"009830","한화솔루션","5,000"
"011070","LG이노텍","5,000"
"029780","삼성카드","5,000"
"004020","현대제철","5,000"
"032640","LG유플러스","5,000"
"097950","CJ제일제당","5,000"
"078930","GS","5,000"
"128940","한미약품","2,500"
"036570","엔씨소프트","500"
"011790","SKC","5,000"
"307950","현대오토에버","500"
"005940","NH투자증권","5,000"
"180640","한진칼","2,500"
"034220","LG디스플레이","5,000"
"021240","코웨이","500"
"011780","금호석유","5,000"
"079550","LIG넥스원","5,000"
"005385","현대차우","5,000"
"071050","한국금융지주","5,000"
"000720","현대건설","5,000"
"035250","강원랜드","500"
"271560","오리온","500"
"016360","삼성증권","5,000"
"003410","쌍용C&E","100"
"272210","한화시스템","5,000"
"064350","현대로템","5,000"
"039490","키움증권","5,000"
"018880","한온시스템","100"
"006260","LS","5,000"
"004990","롯데지주","200"
"273130","KODEX 종합채권(AA-이상)액티브","0"
"133690","TIGER 미국나스닥100","0"
"001450","현대해상","500"
"052690","한전기술","200"
"465680","KODEX 24-12 은행채(AA+이상)액티브","0"
"000120","CJ대한통운","5,000"
"008930","한미사이언스","500"
"088350","한화생명","5,000"
"360750","TIGER 미국S&P500","0"
"001040","CJ","5,000"
"383220","F&F","100"
"036460","한국가스공사","5,000"
"175330","JB금융지주","5,000"
"138930","BNK금융지주","5,000"
"010620","현대미포조선","5,000"
"081660","휠라홀딩스","1,000"
"002380","KCC","5,000"
"010120","LS ELECTRIC","5,000"
"028670","팬오션","1,000"
"007660","이수페타시스","1,000"
"051915","LG화학우","5,000"
"008770","호텔신라","5,000"
"007070","GS리테일","1,000"
"102110","TIGER 200","0"
"282330","BGF리테일","1,000"
"004370","농심","5,000"
"002790","아모레G","500"
"112610","씨에스윈드","500"
"012750","에스원","500"
"298040","효성중공업","5,000"
"122630","KODEX 레버리지","0"
"000880","한화","5,000"
"014680","한솔케미칼","5,000"
"023530","롯데쇼핑","5,000"
"457190","이수스페셜티케미컬","5,000"
"030000","제일기획","200"
"381180","TIGER 미국필라델피아반도체나스닥","0"
"278530","KODEX 200TR","0"
"009420","한올바이오파마","500"
"371460","TIGER 차이나전기차SOLACTIVE","0"
"000990","DB하이텍","5,000"
"139480","이마트","5,000"
"381170","TIGER 미국테크TOP10 INDXX","0"
"278470","에이피알","500"
"000150","두산","5,000"
"010060","OCI홀딩스","5,000"
"111770","영원무역","500"
"020150","롯데에너지머티리얼즈","500"
"006040","동원산업","1,000"
"002710","TCC스틸","1,000"
"026960","동서","500"
"073240","금호타이어","5,000"
"051600","한전KPS","200"
"455890","KBSTAR 머니마켓액티브","0"
"000240","한국앤컴퍼니","500"
"004170","신세계","5,000"
"017800","현대엘리베이","5,000"
"007310","오뚜기","5,000"
"042670","HD현대인프라코어","1,000"
"047040","대우건설","5,000"
"011210","현대위아","5,000"
"298050","효성첨단소재","5,000"
"204320","HL만도","1,000"
"145720","덴티움","500"
"139130","DGB금융지주","5,000"
"003620","KG모빌리티","5,000"
"005850","에스엘","500"
"185750","종근당","2,500"
"001740","SK네트웍스","2,500"
"252670","KODEX 200선물인버스2X","0"
"003230","삼양식품","5,000"
"006280","녹십자","5,000"
"000080","하이트진로","5,000"
"018670","SK가스","5,000"
"005420","코스모화학","1,000"
"137310","에스디바이오센서","500"
"006110","삼아알미늄","500"
"248070","솔루엠","500"
"069620","대웅제약","2,500"
"305540","TIGER 2차전지테마","0"
"003690","코리안리","500"
"375500","DL이앤씨","5,000"
"148020","KBSTAR 200","0"
